Rangpur,ipa_rangpur,Kishoreganj,kishoreganj_ipa,Chittagong,chittagong_ipa,Narsingdi,ipa_narshingdi,Narail,narail_ipa
,,পরিমনি,porimoni,দেন,d̪æn,জেরিনরে,ɟerinre,বাদশার,bad̪ʃar
,,মনির,monir,খিলিপানের,kʰilipaner,দিন-দিন,d̪in-d̪in,তেজি,t̪eɟi
,,দেহায়ামনে,d̪ehaʲamne,বেলাইন্যে,bela͡i̯nne,কিপটা,kipta,দেখছো,d̪ekʰcʰo
,,মারিয়া,mariʲa,হান্ড্রেড,handred,যাইতাছস,ɟa͡i̯t̪acʰoʃ,তারজির,t̪arɟir
,,ততকারি,t̪ɔt̪kari,ওইতো,o͡i̯t̪o,জীবনেরতেই,ɟibɔnert̪e͡i̯,বেচিছে,becicʰe
,,দিছেনা।ডাইল,d̪icʰena।da͡i̯l,ইংরেজিতে,iŋreɟit̪e,কিপ্টা,kipta,গুলোন,gulon
,,রান্ধে,rand̪ʱe,বাংলাতে,baŋlat̪e,জন্মের,ɟɔnmer,ঝুইড়ে,ɟʱu͡i̯ɽe
,,বিরানির,biranir,বে,be,তেই,t̪e͡i̯,জাতির,ɟat̪ir
,,আজকেও,aɟke͡o̯,লাইনে,la͡i̯ne,দেহা-টেহা,d̪eha-teha,অত্র,ot̪ro
,,মালারা,malara,ইক্কু,ikku,যথেষ্ট,ɟɔt̪ʰeʃto,জেলা,ɟela
,,রাফিনরে,rapʰinre,হুন,hun,করিরে,korire,জেলার,ɟelar
,,ভাবি,bʱabi,দেশতও,d̪eʃt̪ɔ͡o̯,স্যারগরে,særgore,সবতে,ʃɔbt̪e
,,মামী,mami,অতও,ɔt̪o͡o̯,তগরেও,t̪ɔgore͡o̯,বুদ্ধিমান,bud̪d̪ʱiman
,,রাফিইন্যা,rapʰi͡i̯nna,ইটালি,itali,করুমনে,korumne,ঘোরতো,gʱorɔt̪o
,,ঘরই,gʱɔri,ইউরোপ,i͡u̯rop,বাড়ি-বাড়ি,baɽi-baɽi,যেযার,ɟeɟar
,,ফাইভেট,pʰa͡i̯bʱet,কান্ট্রি,kantri,গুরুমনে,gurumone,বেড়ার,beɽar
,,রবি,robi,পান,pan,লাইয়া,la͡i̯ʲa,হাতি,hat̪i
,,জাহিমা,ɟahima,বানারাসওয়ালা,banaraʃoʷala,হ-হ,hɔ-h,স্যার-এর,sær-er
,,্না,na,জায়ে,ɟaʲe,তগ,t̪ɔgo,জ্বালাইছে,ɟala͡i̯cʰe
,,জাহিমারা,ɟahimara,বান্দ,band̪o,সবডির,ʃɔbdir,ঠাউরির,tʰa͡u̯rir
,,উহহ,uhɔho,আক্কেল,akkel,যেরম,ɟerɔm,বাগান-টাগান,bagan-tagan
,,এহহহ,ehohɔho,অমিতাভ,ɔmit̪abʱ,ভালাই,bʱala͡i̯,বাড়িতো,baɽit̪o
,,খালাম্মার,kʰalammar,বচ্চনের,bɔcconer,থাহিস,t̪ʰahiʃ,ওখানা,okʰana
,,খালাম্মা,kʰalamma,শাহরুখ,ʃahrukʰ,যাইস,ɟa͡i̯ʃ,কাহিনই,kahini
,,বাতোও,bat̪o͡o̯,খানর,kʰanor,রাহিস,rahiʃ,দীলিপ,d̪ilip
,,বাতো,bat̪o,খুল,kʰul,শিকড়,ʃikɔɽ,মায়া-টায়া,maʲa-taʲa
,,মুর্গির,murgir,যায়ে,ɟaʲe,যাইলেগা,ɟa͡i̯lega,খোপে,kʰope
,,আম্মুর,ammur,কাল,kal,শিকড়ে,ʃikɔɽe,খোপ,kʰop
,,দুইজনই,d̪u͡i̯ɟɔni,চালা,cala,টানে-টানে,tane-tane,ওইতুক,o͡i̯t̪uk
,,কাল্লোয়াও,kalloʷa͡o̯,শালা,ʃala,শিকড়কে,ʃikɔɽke,তাইই,t̪a͡i̯͡i̯
,,কাল্লোইয়া,kallo͡i̯ʲa,ডাইকতে,da͡i̯kt̪e,ভুলন,bʱulon,খাতির,kʰat̪ir
,,হিরেবার,hirebar,ফির,pʰir,মারতাছে,mart̪acʰe,মায়ারে,maʲare
,,খাল্কে,kʰalke,তি,t̪i,হুইকেট,hu͡i̯ket,মায়া,maʲa
,,আনব,anobo,এ্যয়সা,æ͡æ̯ʲʃa,গুরায়,guraʲ,দুলাল,d̪ulal
,,থাকেবি,t̪ʰakebi,কামাল,kamal,মুনয়,munɔʲ,গুলায়,gulaʲ
,,আনাইজ,ana͡i̯ɟ,বেবি,bebi,প্রতমবালা,prot̪ɔmɔbala,ঠাম্মারা,tʰamma͡a̯a
,,গম,gɔm,নাচ,nac,বডি-চডি,bodi-cdi,ঠাহা,tʰaha
,,দেইখ্যালা,d̪e͡i̯kʰkʰala,মাতছুনা,mat̪cʰuna,গুলবাজরে,gulbaɟɔre,গুইজে,gu͡i̯ɟe
,,দেখ্যা,d̪ekkʰa,প্লেয়ার,pleʲar,আহা,aha,গুইনে,gu͡i̯ne
,,লেটকা,letka,মারসুনা,marʃuna,ট্রাকচারি,trakcari,মিয়ারে,miʲare
,,চাওলা,ca͡o̯la,উড়া,uɽa,ইঞ্জরি,inɟori,কিছু৷,kicʰu
,,চুপচাপ,cupcap,ছককা,cʰɔkka,ফরতি,pʰɔrt̪i,ওত্তে,ot̪t̪e
,,র,ro,দিত৷,d̪it̪o,পাওয়েলরে,pa͡o̯ʷelre,টফি,topʰi
,,মানুস,manuʃ,ন-ফাররদে,nɔ-pʰarɔrd̪e,ওয়ার্নারের,oʷarnarer,দৈড়চ্ছি,d̪o͡i̯ɽoccʰi
,,গাছেরতে,gacʰert̪e,বালর,balor,ব্যাটসমেন,bætʃɔmen,বাপ-বিটা,bap-bita
,,হহ,hɔh,দিব,d̪ibo,মার্সেও,marse͡o̯,ঘাপাঘাপি,gʱapagʱapi
,,মিলে,mile,ন-ফারের,nɔ-pʰarer,ধরতারলো,d̪ʱɔrot̪arɔlo,কুটোকুটি,kutokuti
,,নুসরারার,nuʃɔrarar,ক্লিক,klik,ওন্য,onno,ক্যান্সার,kænʃar
,,আব্দুল্লার,abd̪ullar,তুরারতু,t̪urarot̪u,দেক্কা,d̪ekka,বুকি,buki
,,ফুলেরঘাটতে,pʰulergʱatt̪e,গরতি,gorot̪i,দেকবার,d̪ekbar,কামাইও,kama͡i̯o
,,ফুলেরঘাটের,pʰulergʱater,বেড়া,beɽa,ধরতারেনি,d̪ʱɔrot̪areni,এট্টারও,ettaro
,,বারা,bara,বেগগুন,beggun,বিলিয়ার্সে,biliʲarse,ডিভোর্স,dibʱors
,,নয়শো,nɔʲʃo,ন-মারিস,nɔ-maris,মুস্তাফিজরে,muʃt̪apʰiɟɔre,রাজবাড়ী,raɟbaɽi
,,শ,ʃɔ,হাংকির,haŋkir,মুশফিকরে,muʃpʰikre,ফরিদপুর,pʰorid̪pur
,,তেতুল,t̪et̪ul,এতককুন,æt̪okkun,খোলা,kʰola,আয়োজন,aʲoɟon
,,হিইরে,hi͡i̯re,ন-আছছিলদে,no-acʰcʰild̪e,ম্যাথো,mæt̪ʰo,হইছিল,ho͡i̯cʰilo
,,তুসুর,t̪uʃur,আজ,aɟ,ওয়াইডে,oʷa͡i̯de,ওইটুকির,o͡i̯tukir
,,রুইছিন,ru͡i̯cʰin,অইয়্যুস,ɔ͡i̯kuʃ,শ্রী-লঙ্কারতে,sri-lɔŋkart̪e,ফিচনে,pʰicone
,,বিতি,bit̪i,রায়হান,raʲhan,কিনতারলো,kint̪arɔlo,দৈড়চ্ছিস,d̪o͡i̯ɽoccʰiʃ
,,আফুর,apʰur,টাইল,ta͡i̯l,নেওয়ায়,ne͡o̯ʷaʲ,ওঠুক,otʰuk
,,তেতই,t̪et̪o͡i̯,চালির,calir,প্রতমতে,prot̪ɔmot̪e,শিব,ʃibo
,,আমডারই,amdari,উডিবু,udibu,খেলতারলো,kʰelt̪arlo,পুতা৷,put̪a
,,খাইতারবাম,kʰa͡i̯t̪arbam,বলিবু,bolibu,বলে-বলে,bole-ble,শান্তিগে,ʃant̪ige
,,বানাইছি,bana͡i̯cʰi,মোবারক,mobarɔk,প্রতমদা,prot̪ɔmod̪a,পুতায়,put̪aʲ
,,যুদিও,ɟud̪i͡o̯,সিগারেটও,ʃigareto,বাইরায়,ba͡i̯raʲ,জাগাঠুক,ɟagatʰuk
,,বানবো,banbo,আস্তাগফিরুল্লাহ,ast̪agpʰirullah,ছেচল্লিশ,cʰecolliʃ,দৈড়োদৈড়ি,d̪o͡i̯ɽod̪o͡i̯ɽi
,,বাইন্দালবো,ba͡i̯nd̪albo,আনলাকি,anlaki,স্টাইক,sta͡i̯k,দিয়ে৷,d̪iʲe
,,আদিবারাও,ad̪ibara͡o̯,বীরের,birer,রেইট,re͡i̯t,পাইস৷,pa͡i̯ʃ
,,বাইঙ্গালচে,ba͡i̯ŋgalce,বেশে,beʃe,সাইডেরতে,sa͡i̯dert̪e,অলো৷,ɔlo
,,আদিবা,ad̪iba,গুটি,guti,সিঙেল,ʃiŋel,ফালি,pʰali
,,ফেট,pʰet,বীর,bir,দিয়া-দিয়া,d̪iʲa-d̪iʲa,ফাইস,pʰa͡i̯s
,,আদি,ad̪i,জাতি,ɟat̪i,শেষেরদা,ʃeʃerd̪a,দিন৷,d̪in
,,যাইলাম,ɟa͡i̯lam,মারছোনা,marcʰona,আয়ুশ,aʲuʃ,এরবিনি,erbini
,,আদিরার,ad̪irar,রায়হাইন্যা,raʲha͡i̯nna,বুইত্তা-বুইত্তা,bu͡i̯t̪t̪a-bu͡i̯t̪t̪a,ঝোক,ɟʱok
,,কুম্বি,kumbi,জাইনতাম,ɟa͡i̯nt̪am,উট্টূনি,uttuni,ফারবি৷,pʰarbi
,,কুমরি,kumri,বাঁচি,bãci,উন্নিশ,unniʃ,বাচতি,bact̪i
,,কমরি,komri,মইরজে,mo͡i̯rɟe,হুমান,human,ফাই,pʰa͡i̯
,,শিমুইল্লা,ʃimu͡i̯lla,উইঠ্যি,u͡i̯ti,মারতারবো,mart̪arbo,দলিলির,d̪olilir
,,জীবনও,ɟibɔno,উইঠ্যে,u͡i̯te,কুনাল,kunal,জাগাটুক,ɟagatuk
,,সামনেই,ʃamne͡i̯,নয়ইন্যা,nɔʲinna,ফান্ডিয়ায়,pʰandiʲaʲ,পাত্তিছে,pat̪t̪icʰe
,,নানার,nanar,বিড়ি,biɽi,ফান্ডিয়া,pʰandiʲa,করতেছে,kort̪ecʰe
,,ঢাহা,dʱaha,দিছ,d̪icʰo,বাইরাইতারমু,ba͡i̯ra͡i̯t̪armu,বলতিছিস,bolot̪icʰiʃ
,,বিমানো,bimano,লাইনো,la͡i̯no,বাউন,ba͡u̯n,দিয়াতে,d̪iʲat̪e
,,উঠবে,utʰbe,বইও,bo͡i̯͡o̯,টেনিসো,teniso,অখুশি,okʰuʃi
,,উঠবাম,utʰbam,রায়হাইন্যে,raʲha͡i̯nne,শিবাম,ʃibam,বলিছি,bolicʰi
,,আনবে,anbe,সেডের,ʃeder,দেখছিলে,d̪ekʰcʰile,হতাম,hot̪am
,,বিমানে,bimane,খেলাইয়্যুম,kʰela͡i̯ʲd̪ʱum,দেখতারছি,d̪ekʰot̪arcʰi,বলতাম,bɔlot̪am
,,ডরাইতে,dɔra͡i̯t̪e,খাডিবার,kʰadibar,ম্যাথিউস,mæt̪ʰi͡u̯s,শুদ্ধ,ʃud̪d̪ʱo
,,এইবাযে,e͡i̯baɟe,মনোবল,monobol,দুইডায়ে,d̪u͡i̯daʲe,ভাষার,bʱaʃar
,,উড়বে,uɽbe,খাট,kʰat,ব্যাট-চ্যাট,bæt-cɟat,মনডা,monda
,,উইড়া,u͡i̯ɽa,নয়ন,nɔʲon,হিডার,hidar,বলেন,bɔlen
,,ডরের,dɔrer,এখনই,ækʰoni,ম্যাছের,mæcʰer,কান্তা,kant̪a
,,উঠতাড়ি,utʰt̪aɽi,তোরও,t̪oro,কইরাওই,ko͡i̯ra͡o̯i,সেটা,ʃeta
,,ডরাইবি,dɔra͡i̯bi,খাডাত,kʰadat̪,দেইখ্যা,d̪e͡i̯kʰkʰa,মানলা,manla
,,আসমানের,aʃmaner,শাহেদ,ʃahed̪,বাইরেরতা,ba͡i̯rerot̪a,একটাবার,æktabar
,,উটবাম,utbam,খাডির,kʰadir,বাহিরে,bahire,সেইটা,ʃe͡i̯ta
,,কিও,ki͡o̯,ব্যর্থতা,bært̪ʰot̪a,সী,ʃi,বুঝাতি,buɟʱat̪i
,,উডবে,udbe,চরম,cɔrom,ইহ,ih,এসমস্ত,eʃɔmost̪o
,,মাডিততে,madit̪ɔt̪e,কফির,kɔpʰir,মারতামু,mart̪amu,দাও,d̪a͡o̯
,,উঠতারবে,utʰt̪arbe,বিরক্তিকর,birokt̪ikɔr,বলদো,bɔlod̪o,কইরলে,ko͡i̯rle
,,আকাশে,akaʃe,ঢালি,dʱali,ডিফেন্ড,dipʰend,স্বভাবটা,ʃɔbʱabta
,,উরবাম,urbam,তালতো,t̪alot̪o,ফাররতোই,pʰarrt̪o͡i̯,মজা,mɔɟa
,,বিমানই,bimani,খাইট্য,kʰa͡i̯tto,হেল্মেট,helmet,পিযূষির,piɟuʃir
,,গাছারতু,gacʰart̪u,বেচার,becar,প্রতম-প্রতম,prot̪ɔmo-prot̪ɔmo,শুনিস,ʃuniʃ
,,লাডিতেই,ladit̪e͡i̯,লবন,lɔbon,লাগ্লো,laglo,গভীরের,gobʱirer
,,এওয়া,e͡o̯ʷa,এককা,ækka,ইন্ডিজের,indiɟer,ভাইবলে,bʱa͡i̯bɔle
,,চট্টগামো,cɔttogamo,বারাই,bara͡i̯,হেইযে,he͡i̯ɟe,বদমাইশিপানা,bɔd̪ma͡i̯ʃipana
,,চট্টগামে,cɔttogame,ঝামেলাদে,ɟʱamelad̪e,টি-স্পোর্টসো,ti-sporsso,ইয়ার্কি-ফাইজলেমি,iʲarki-pʰa͡i̯ɟɔlemi
,,এয়ারফুট,eʲarpʰut,হাইয়িদে,ha͡i̯ʲid̪e,কেলা,kela,একসুময়,ækʃumɔʲ
,,চট্টগামের,cɔttogamer,ইনিতো,init̪o,টি-স্পোর্টসে,ti-sportse,কন্তার,kɔnt̪ar
,,এয়ারফুটো,eʲarpʰuto,চাইলের,ca͡i̯ler,সবখেলা,ʃɔbkʰela,যতটুকুই,ɟɔt̪otuku͡i̯
,,যাইতারবে,ɟa͡i̯t̪arbe,খাডিবি,kʰadibi,ধরাইয়া,d̪ʱɔra͡i̯ʲa,বলতে,bolt̪e
,,চট্টগাম,cɔttogam,ইতারগো,it̪argo,যাওই,ɟa͡o̯i,জানেমান,ɟaneman
,,যেদিন,ɟed̪in,চিনেরদে,cinerd̪e,পিএসএল,pi͡e̯sel,ফেলাইছো,pʰela͡i̯cʰo
,,এইদিন,e͡i̯d̪in,ফাল্টাইয়ে,pʰalta͡i̯ʲe,বাইরাতারে,ba͡i̯rat̪are,একথা,ækt̪ʰa
,,আফু,apʰu,কালুরঘাটের,kalurgʱater,জিততারলো,ɟit̪ɔt̪arolo,যতটা,ɟɔt̪ota
,,যাইতোনা,ɟa͡i̯t̪ona,ফিছত,pʰicʰɔt̪,নারিনের,nariner,ততোটা,t̪ɔt̪ota
,,মাইকোর,ma͡i̯kor,বাইন্দে,ba͡i̯nd̪e,ইয়াড্ডার,iʲaddar,উধারণ,ud̪ʱaron
,,বেল,bel,সরল,ʃɔrol,নারিনরে,narinore,উধারণডা,ud̪ʱaronda
,,এহহ,ehoho,কও,kɔ͡o̯,সিংরে,ʃiŋre,বিশ্রী,bisri
,,বুহের,buher,ন-চিননম,no-cinɔnom,শুইন্য,ʃu͡i̯nno,কোনতোরো,konot̪oro
,,এইনদা,e͡i̯nd̪a,উড়োও,uɽo͡o̯,এম্নিতে,emnit̪e,দাওয়া,d̪a͡o̯ʷa
,,বিমানইত্তো,bimanit̪t̪o,তুইতো,t̪u͡i̯t̪o,গভীরভাবে,gobʱirobʱabe,পিটেই,pite͡i̯
,,বিমানেরতে,bimanert̪e,চিনসদে,cinʃɔd̪e,লইতে,lo͡i̯t̪e,বাড়িরতেই,baɽirt̪e͡i̯
,,জানালাদেন,ɟanalad̪en,ন-চিনস,no-cins,ফেক্কারছনে,pʰekkarcʰone,পিটেইছো,pite͡i̯cʰo
,,দেখতারবি,d̪ekʰot̪arbi,নয়ইননা,nɔʲinna,বারায়,baraʲ,ভীম,bʱim
,,ইইই,i͡i̯i,হাড়ি,haɽi,আছিল।আর,acʰilɔ।ar,পিটেন,piten
,,বাড়িঘর,baɽigʱɔr,এহনা,ehona,এম্নে-এম্নে,emn-emne,এরেয়া,ereʲa
,,যানি,ɟani,মাইরলেও,ma͡i̯rle͡o̯,এদে,ed̪e,অইনে,o͡i̯ne
,,কইযে,ko͡i̯ɟe,উইটতোদে,u͡i̯tt̪od̪e,গুরাইয়া,gura͡i̯ʲa,দিচ্ছিলো,d̪iccʰilo
,,দেহিই,d̪ehi͡i̯,হাড়িকা,haɽika,মাফে,mapʰe,সুতরাং,ʃut̪ɔraŋ
,,বইবে,bo͡i̯be,ন-ফারির,nɔ-pʰarir,ডাই,da͡i̯,পারলাম,parlam
,,স্যালাইন,sæla͡i̯n,শাইদদা,ʃa͡i̯d̪d̪a,প্যাচ,pæc,খাওয়াইছিস,kʰa͡o̯ʷa͡i̯cʰiʃ
,,কাইতারুইন,ka͡i̯t̪aru͡i̯n,তাইককে,t̪a͡i̯kke,উমেস,umeʃ,অনেকদিন,ɔnekd̪in
,,গ্যাসটিকের,gæʃtiker,চাইলতো,ca͡i̯lɔt̪o,শান্দিপ,ʃand̪ip,বিপুল,bipul
,,গ্যাসটিহের,gæʃotiher,চালুক,caluk,শার্মা,ʃarma,খুলনাতে,kʰulnat̪e
,,ফেডো,pʰedo,ফতে,pʰɔt̪e,কায়,kaʲ,দেখাইছিলাম,d̪ækʰa͡i̯cʰilam
,,ট্যাক্কার,tækkar,এতুন,et̪un,ধনিয়ে,d̪ʱoniʲe,বেডের,beder
,,দামি,d̪ami,কেলাইয়স,kela͡i̯ʲoʃ,লইছিল,lo͡i̯cʰilo,থাইরয়েড,t̪ʰa͡i̯rɔʲed
,,কাইয়ালচুইন,ka͡i̯ʲalcu͡i̯n,হনিককা,honikka,তুলবার,t̪ulbar,পড়িছেলো,poɽicʰelo
,,ডাম,dam,আছেনে,acʰene,হেলিকাপ্টারো,helikaptaro,বুক,buk
,,এলিক্যান,elikkan,ফিছুদদি,pʰicʰud̪od̪i,ধনির,d̪ʱɔnir,কাইপে,ka͡i̯pe
,,বেদনা,bed̪ona,ন-গরিস,nɔ-goriʃ,খেলতাছেরে,kʰelt̪acʰere,ধরলাম,d̪ʱɔrlam
,,অহনকা,ɔhɔnka,ফুরন,pʰuron,বিশ্ব,biʃʃo,ছুম্লাম,cʰumlam
,,খাইয়ালাও,kʰa͡i̯ʲala͡o̯,হইককা,ho͡i̯kka,সিস্টেমে,ʃisteme,দেখাইছি,d̪ækʰa͡i̯cʰi
,,খাইয়ালাইন,kʰa͡i̯ʲala͡i̯n,উড়ও,uɽo,রিসাব,riʃab,বুকে,buke
,,উলডা,ulda,ন-ফাইজজুম,nɔ-pʰa͡i̯ɟɟum,পান্টে,pante,অপ্রেশন,ɔpreʃon
,,জিবনেও,ɟibɔne͡o̯,কেচা,keca,থাকলেও,t̪ʰakle͡o̯,টিউমারটা,ti͡u̯marta
,,খাইয়াল্বাইন,kʰa͡i̯ʲalba͡i̯n,গুটা,guta,হেরেই,here͡i̯,অনেকটা,ɔnekta
,,খাইয়ালবাম,kʰa͡i̯ʲalbam,ন-দেকর,n-d̪ekɔr,এমাডা,æmada,ভেঙে,bʱeŋe
,,ফেড,pʰed,পাউয়ার,pa͡u̯ʲar,রাকতারে,rakt̪are,থ্যালাসেমিয়া,t̪ælaʃemiʲa
,,খাইয়ালচি,kʰa͡i̯ʲalci,তিননা,t̪inna,সূর্যকুমার,ʃurɟokumar,মাংসপিণ্ড,maŋʃopindo
,,খায়ালাইন,kʰaʲala͡i̯n,রাজ,raɟ,আশ্বিনরেও,aʃʃinre͡o̯,ছয়বার,cʰɔʲbar
,,খায়াই,kʰaʲa͡i̯,হনোকিয়া,hɔnokiʲa,আশ্বিনে,aʃʃine,ব্রেস্ট,brest
,,খায়াইতো,kʰaʲa͡i̯t̪o,ন-থাইককুম,nɔ-t̪ʰa͡i̯kkum,চাইড্ডাত্তে,ca͡i̯ddat̪t̪e,ইউএসজি,i͡u̯eʃoɟi
,,এইতাও,e͡i̯t̪a͡o̯,তাইবো,t̪a͡i̯bo,বোলারদা,bolard̪a,ঘাড়ে,gʱaɽe
,,আডু,adu,কুলা,kula,সারদিল,ʃard̪il,বলতেছিল,bolt̪ecʰilo
,,বেদনারো,bed̪onaro,ন-হাড়স,nɔ-haɽoʃ,অইবো।,ɔ͡i̯bo।,ভেলোর,bʱelor
,,জ্বর,ɟɔr,হ-চেনা,hɔ-cena,সুববাম,ʃubbam,যন্ত্রণা,ɟɔnt̪rona
,,জাহাঙ্গীরের,ɟahaŋgirer,এনকা,ænka,ফরেরটা,pʰɔrerta,ইনফেকশন,inpʰekʃon
,,ডুলি,duli,এববেরে,ebobere,তি,t̪i,দেখালাম,d̪ekʰalam
,,আইতারুইন,a͡i̯t̪aru͡i̯n,গইললে,gille,সুববার,ʃubbar,ইনফেকশনের,inpʰekʃoner
,,হোউরির,ho͡u̯rir,দিয়া,d̪iʲa,গিলরে,gilre,ইটা,ita
,,ওয়াজেদ,oʷaɟed̪,আইয়েরদে,a͡i̯ʲerd̪e,দেওয়ানে,d̪e͡o̯ʷane,ওটা,ota
,,কাটতারছি,katt̪arcʰi,তর,t̪ɔr,দেওয়ানরে,d̪e͡o̯ʷanre,খণ্ড-খণ্ড,kʰɔndo-kʰɔndo
,,এহে,ehe,চাইস,ca͡i̯ʃ,পারফরম্যান্স,parpʰɔromænʃo,ফ্যাট,pʰæt
,,কুকির,kukir,ঢুকিয়ম,dʱukiʲom,হেওয়ানরে,he͡o̯ʷanre,টিস্যুটা,tiʃʃuta
,,বুইল্লাছিগা,bu͡i̯llacʰiga,ন-হাড়িবো,nɔ-haɽibo,অইন্যতানরে,ɔ͡i̯nnot̪anore,ওটার,otar
,,মুক্তার,mukt̪ar,এ্যা,t̪æ,দিপাক,d̪ipak,দেখাতি,d̪ækʰat̪i
,,সিনহা,ʃinha,পাঁস,pãʃ,কুমারো,kumaro,নিরোধ,nirod̪ʱ
,,তানহা,t̪anha,হড়ে,hoɽe,ওতো,ot̪o,বাউরি,ba͡u̯ri
,,আয়েনা,aʲena,যাইবই,ɟa͡i̯bo͡i̯,বারাইতারবো,bara͡i̯t̪arbo,টেখাতি,tekʰat̪i
,,বাঙতারে,baŋt̪are,চাবিনে,cabine,দিপক,d̪ipok,মাইপুতির,ma͡i̯put̪ir
,,ছেরিও,cʰeri͡o̯,লইযাই,lo͡i̯͡æ̯͡i̯,খেলায়তারে,kʰelaʲt̪are,গ্রামে,grame
,,ফরাত,pʰɔrat̪,দইশ,d̪o͡i̯ʃ,অসিনরে,ɔʃinre,কপালের,kɔpaler
,,মাদ্রাসাত,mad̪raʃat̪,এক্সট্রা,ekstra,অসিন,ɔʃin,ঘরেই,gʱɔre͡i̯
,,হেইদুন,he͡i̯d̪un,লাফ,lapʰ,দেহসতা,d̪ehoʃɔt̪a,উঠতি,utʰt̪i
,,আইছলাইন,a͡i̯cʰɔla͡i̯n,ঢুকো,dʱuko,দরায়,d̪ɔraʲ,থাকতিছো,t̪ʰakt̪icʰo
,,ফিইন্দা,pʰi͡i̯nd̪a,মাইরলে,ma͡i̯rle,বাইরাইছে,ba͡i̯ra͡i̯cʰe,শুনোইলে,ʃuno͡i̯le
,,শুক্কুরবার,ʃukkurbar,ডরাবি,cʰɔrabi,মইদে,mo͡i̯d̪e,অঙ্কুশিরি,ɔŋkuʃiri
,,তিনদিন,t̪ind̪in,ডরাইবার,dɔra͡i̯bar,এগারো-বারোয়,ægaro-baroʲ,থাকব,t̪ʰakbo
,,শুক্কুরবারেই,ʃukkurbare͡i̯,ক্যায়ার,kæʲar,ধরাইছে,d̪ʱɔra͡i̯cʰe,ফাইভি,pʰa͡i̯bʱi
,,মুক্তারার,mukt̪arar,খাইট্যে,kʰa͡i̯tte,কইছিল,ko͡i̯cʰilo,দিয়াবো,d̪iʲabo
,,আছিলা,acʰila,ডরাইয়্যি,dɔra͡i̯ki,সামনেরটা,ʃamonerta,থও,t̪ʰɔ͡o̯
,,আইতাছিন,a͡i̯t̪acʰin,নয়ইন্যার,nɔʲinnar,বুলাইবার,bula͡i̯bar,পীযুষির,piɟuʃir
,,বেগ,bego,বাইজ্জো,ba͡i̯ɟɟo,শরিরে,ʃorire,সংসারে,ʃɔŋʃare
,,ভুইত্তা,bʱu͡i̯t̪t̪a,ফওনা,pʰona,মাহঅমুদুল্লাহ,mahoʃmud̪ullah,আল্টিমেটাম,altimetam
,,খাইতারলে,kʰa͡i̯t̪arle,গুইল্যে,gu͡i̯lle,অবসরের,ɔboʃorer,রাখলাম,rakʰlam
,,দক্কিন,d̪okkin,ছক্কার,cʰɔkkar,ফালাইয়,pʰala͡i̯ʲ,লিখে,likʰe
,,হাফছার,hapʰcʰar,মারিবা,mariba,লওয়া,lɔ͡o̯ʷa,রাখ,rakʰ
,,জামাইএর,ɟama͡i̯͡e̯r,মারিদে,marid̪e,পাটোয়ারীত,patoʷarit̪ɔ,হচ্ছেগে,hoccʰege
,,তফাৎ,t̪ɔpʰat̪,আলারফোয়াআলা,alarpʰoʷa͡a̯la,শামিম,ʃamim,বুন্ডিরে,bundire
,,জামাইয়ের,ɟama͡i̯ʲer,ডুবাই,duba͡i̯,শামিমে,ʃamime,সামলাতি,ʃamlat̪i
,,এইম্মেদেয়া,e͡i̯mmed̪eʲa,ফেইল্যে,pʰe͡i̯lle,ভাঙায়,bʱaŋaʲ,আহহা,ahoha
,,এইহান,e͡i̯han,খাডস,kʰadoʃ,চেগায়,cegaʲ,বুন্ডি-মুন্ডি,bundi-mundi
,,যেইন,ɟe͡i̯n,খেলর,kʰelɔr,বুইজা,bu͡i̯ɟa,থাকপা,t̪ʰakpa
,,ফুববারার,pʰubbarar,অনিক্কার,ɔnikkar,হ্যালো,hælo,আমাদ্দারে,amad̪d̪are
,,ছিনতাম,cʰint̪am,শাহিদদা,ʃahid̪ɔd̪a,ওয়ালাইকুম,oʷala͡i̯kum,পরীক্ষাডা,porikkʰada
,,মেম্বারের,membarer,কেলাইবোদে,kela͡i̯bod̪e,আসসালাম,assalam,দিয়ায়ে,d̪iʲaʲe
,,বইনেরে,bo͡i̯nere,বেককুনর,bekkunɔr,দরকারে,d̪ɔrkare,পাবলিকি,pabliki
,,মচ্ছিদের,mɔccʰid̪er,দেদে,d̪ed̪e,দিছিলি,d̪icʰili,নৌবাহিনী,no͡u̯bahini
,,সুজা,ʃuɟa,হনিককারতু,honikkart̪u,জিগাইতাম,ɟiga͡i̯t̪am,একটায়,æktaʲ
,,ওয়ালগর,oʷalgor,হাড়িত,haɽit̪o,ব্লক,blok,সবকয়ডায়,ʃɔbkɔʲdaʲ
,,ওয়ালগরের,oʷalgorer,ন-ফাইরলে,nɔ-pʰa͡i̯rle,মারছস,marcʰos,বর্থি,bɔrt̪ʰi
,,আজ্ঞোইলে,aggo͡i̯le,গইললইদে,gillid̪e,হুদা-হুদি,hud̪a-hud̪i,করাবো,kɔrabo
,,ইয়াওডা,iʲa͡o̯da,দেককননি,d̪ækkonni,কাডা-কাডি,kada-kadi,পড়াবো,pɔɽabo
,,কইয়ের,ko͡i̯ʲer,ফরিবোতো,pʰoribot̪o,ইট্টুনি,ittuni,বলো,bɔlo
,,মিলডা,milda,তুয়ার,t̪uʲar,মনেরে,monere,করাতাম,kɔrat̪am
